education_level,years_experience,num_relevant_skills,internal_referral,interview_score,technical_test_score,Cloud_Computing,Communication,Data_Visualization,Excel,Leadership,Machine_Learning,Python,SQL,total_skills,avg_test_score,edu_exp_score
0,16,3,1,4.22,7.81,1,0,0,1,0,0,0,0,2,6.099999999999999,0
0,13,1,0,1.26,5.74,1,0,1,0,0,1,1,0,4,5.1033333333333335,0
1,10,1,0,3.12,1.0,1,0,1,1,0,0,1,0,4,4.266666666666667,10
1,5,1,0,3.34,3.51,0,1,1,1,0,1,0,0,4,5.026666666666666,5
0,4,2,0,8.35,6.4,0,0,1,0,0,0,0,1,2,6.383333333333333,0
0,8,4,1,7.77,3.81,0,0,0,1,0,0,0,1,2,6.609999999999999,0
0,9,2,1,8.48,4.69,0,0,1,0,1,0,1,0,3,6.296666666666667,0
1,11,3,1,1.72,1.97,0,1,1,1,0,0,0,0,3,2.59,11
0,12,3,0,2.2,9.82,1,0,0,0,0,1,0,0,2,4.953333333333333,0
0,9,1,0,3.74,2.03,1,0,0,0,0,0,0,0,1,4.336666666666667,0
1,0,1,0,7.7,1.64,0,0,0,0,1,1,1,0,3,4.36,0
0,6,4,0,1.23,6.26,1,0,0,0,0,0,0,0,1,3.6233333333333335,0
1,12,2,1,2.34,6.59,0,0,1,0,0,0,0,1,2,5.086666666666667,12
0,18,3,0,5.48,5.72,0,0,0,0,0,0,0,1,1,4.836666666666667,0
0,19,3,1,1.22,4.18,0,0,1,0,0,0,0,0,1,3.09,0
0,19,1,1,1.93,9.32,0,1,0,0,0,1,1,0,3,6.1933333333333325,0
0,19,2,0,3.87,4.09,1,0,0,1,0,0,1,0,3,5.006666666666667,0
0,14,3,0,3.15,3.8,0,0,0,1,0,0,0,0,1,5.44,0
1,19,3,0,4.25,9.51,0,0,1,1,0,0,1,0,3,7.316666666666666,19
1,13,2,0,7.8,8.96,0,1,1,0,1,0,1,0,4,6.946666666666668,13
1,5,1,0,2.96,5.29,0,0,1,0,0,0,0,0,1,4.476666666666667,5
0,0,4,0,6.63,3.35,0,0,0,0,0,1,0,1,2,5.363333333333333,0
1,7,1,1,8.93,2.17,0,1,0,1,0,0,1,1,4,5.226666666666667,7
0,3,2,0,3.74,8.19,0,0,0,0,1,0,0,0,1,7.263333333333333,0
0,12,2,0,1.44,7.54,0,1,0,0,1,0,0,0,2,3.426666666666667,0
0,2,2,0,6.68,1.95,0,0,0,1,0,0,0,1,2,5.146666666666666,0
1,1,3,0,7.45,7.66,1,0,0,0,0,1,0,1,3,7.216666666666666,1
0,10,2,0,5.29,9.08,0,1,0,1,0,0,1,0,3,7.920000000000001,0
0,5,4,1,4.85,1.5,0,1,1,0,1,0,1,0,4,5.153333333333333,0
0,12,1,0,7.72,4.7,1,0,0,1,1,0,0,1,4,7.2299999999999995,0
0,1,3,0,4.75,4.68,0,0,1,0,1,0,0,0,2,6.4433333333333325,0
0,13,2,0,1.04,8.29,1,0,0,0,1,0,0,0,2,4.426666666666666,0
0,10,2,0,9.01,2.07,0,0,0,0,0,1,0,0,1,5.496666666666667,0
0,7,2,0,3.28,2.36,0,0,0,0,1,1,0,1,3,2.7733333333333334,0
1,9,4,1,6.48,4.45,1,0,1,0,1,1,0,0,4,6.419999999999999,9
1,14,4,0,5.99,8.67,1,0,0,0,0,0,0,1,2,6.94,14
1,12,1,1,5.62,9.88,0,0,0,0,0,0,0,1,1,7.566666666666666,12
0,6,1,1,3.22,5.92,0,0,0,1,0,0,0,0,1,3.563333333333334,0
0,6,4,1,7.66,2.42,1,0,0,0,0,1,0,0,2,3.8699999999999997,0
1,3,4,0,3.21,9.13,1,0,0,0,0,0,0,1,2,4.67,3
0,3,4,0,9.45,2.46,1,0,0,1,0,0,0,0,2,6.446666666666666,0
0,17,1,0,6.04,4.31,1,0,0,0,0,0,0,0,1,4.886666666666667,0
0,15,3,0,7.93,7.67,1,1,0,0,0,0,0,0,2,7.776666666666666,0
0,19,1,1,7.7,1.54,0,0,0,0,0,0,0,1,1,4.966666666666667,0
0,12,2,0,9.71,5.36,0,0,0,0,0,0,1,0,1,5.933333333333334,0
0,1,1,0,5.79,4.67,0,0,1,0,1,1,0,0,3,4.163333333333333,0
1,14,4,0,1.5,9.51,1,0,1,0,1,0,0,0,3,6.786666666666666,14
1,6,3,0,1.79,5.92,0,0,0,0,0,1,0,0,1,4.876666666666666,6
0,8,1,0,4.22,8.99,0,0,0,1,0,0,1,0,2,6.550000000000001,0
0,18,3,1,4.24,1.8,0,0,0,0,0,0,0,1,1,4.183333333333334,0
1,7,2,0,2.96,6.02,0,0,0,0,1,0,0,0,1,4.406666666666667,7
0,9,3,0,9.33,7.23,1,0,0,1,1,0,0,1,4,6.160000000000001,0
0,3,1,0,5.26,2.36,1,0,0,1,1,0,1,0,4,5.506666666666667,0
0,11,2,0,9.12,8.63,0,0,0,1,1,0,0,0,2,9.020000000000001,0
1,7,1,0,1.5,8.91,0,0,0,0,0,1,0,0,1,5.206666666666667,7
1,0,4,0,4.13,7.1,0,0,0,0,1,0,0,0,1,5.3500000000000005,0
0,8,1,0,4.24,5.68,1,0,1,0,0,0,0,0,2,4.3,0
0,6,4,0,1.34,7.25,0,1,0,0,1,0,1,0,3,3.223333333333333,0
0,8,2,0,6.83,3.57,1,1,0,0,0,0,0,1,3,5.903333333333333,0
0,6,2,1,2.28,2.0,1,0,1,0,0,1,1,0,4,3.26,0
0,1,1,0,4.12,5.97,1,1,0,0,0,0,1,1,4,6.546666666666667,0
0,19,2,1,9.83,5.34,1,1,1,0,0,0,1,0,4,5.523333333333333,0
0,15,1,0,9.37,4.84,0,0,0,0,0,0,1,1,2,6.079999999999999,0
0,9,3,0,3.35,2.7,0,0,1,1,0,0,0,1,3,5.306666666666667,0
0,9,3,0,3.83,2.71,0,1,1,1,0,1,0,0,4,4.376666666666666,0
1,13,1,0,5.86,9.87,0,0,0,0,0,1,1,0,2,6.63,13
0,8,3,1,3.57,9.34,1,0,0,0,0,0,0,1,2,5.233333333333333,0
0,18,4,1,7.53,3.28,0,0,0,0,0,1,0,1,2,4.133333333333334,0
2,18,4,0,6.1,1.54,0,1,0,1,1,0,0,0,3,5.6499999999999995,36
0,1,1,0,5.25,3.92,1,0,1,1,0,0,1,0,4,4.593333333333334,0
0,19,2,1,9.62,8.61,0,0,0,0,1,0,1,1,3,9.243333333333332,0
0,18,3,1,2.96,3.01,0,1,1,0,1,0,0,0,3,3.3766666666666665,0
0,10,4,0,8.73,9.86,1,0,1,1,1,0,0,0,4,9.36,0
0,5,2,1,7.54,2.83,1,0,1,1,0,0,0,1,4,6.22,0
0,16,4,0,2.81,6.02,1,0,0,1,0,0,1,1,4,4.256666666666667,0
0,4,4,1,2.66,9.93,0,1,0,1,0,0,0,0,2,5.8066666666666675,0
2,10,1,1,6.2,2.17,0,0,0,0,0,0,1,0,1,5.953333333333333,20
0,3,1,0,1.72,2.78,1,0,0,0,0,0,0,0,1,4.066666666666666,0
0,0,3,1,5.33,6.31,0,0,1,0,0,0,0,0,1,6.626666666666668,0
1,15,4,0,4.03,8.1,0,1,1,0,0,0,1,0,3,6.256666666666667,15
1,3,4,0,8.66,7.32,0,1,0,0,0,1,0,0,2,5.84,3
0,14,2,1,6.37,6.3,0,1,0,1,0,1,0,1,4,7.136666666666667,0
2,2,1,0,6.76,4.87,1,1,1,1,0,0,0,0,4,6.543333333333333,4
1,11,1,1,3.94,8.08,1,1,1,0,0,0,0,0,3,6.053333333333334,11
0,14,4,0,2.95,2.27,1,0,1,0,0,0,1,1,4,4.16,0
0,10,2,1,5.83,3.21,0,0,1,1,0,1,0,0,3,4.04,0
0,2,2,0,9.5,8.1,0,0,0,0,1,1,0,0,2,8.976666666666667,0
0,18,1,0,6.36,3.53,1,0,1,0,1,0,0,0,3,4.273333333333333,0
0,10,2,1,1.17,2.24,1,0,0,0,1,1,1,0,4,3.4899999999999998,0
0,7,4,0,9.67,8.59,0,1,0,1,1,0,0,1,4,7.846666666666667,0
1,18,3,0,8.5,7.92,0,0,0,0,0,1,1,1,3,7.460000000000001,18
0,1,2,1,8.95,6.75,1,0,0,0,0,0,0,0,1,6.183333333333334,0
1,1,3,0,5.07,6.9,0,0,0,0,0,0,0,1,1,4.866666666666667,1
0,11,4,1,9.07,6.97,1,0,0,0,0,0,0,0,1,6.666666666666667,0
0,7,2,1,3.33,7.58,1,0,0,0,0,0,0,0,1,4.06,0
1,5,4,0,8.21,3.84,1,0,0,0,0,0,0,1,2,4.713333333333334,5
0,2,1,0,6.51,8.79,0,0,1,1,1,0,0,1,4,6.526666666666666,0
1,10,1,0,9.57,3.34,1,0,0,0,0,0,0,0,1,6.46,10
1,15,2,0,3.67,4.72,0,1,0,0,1,0,1,0,3,4.1866666666666665,15
0,10,2,0,2.11,5.59,0,1,1,0,1,0,0,1,4,3.1199999999999997,0
0,9,4,0,7.45,8.26,0,0,1,0,0,0,0,0,1,7.973333333333334,0
0,9,1,1,9.87,4.9,1,1,1,0,1,0,0,0,4,5.7299999999999995,0
1,16,2,1,2.31,5.57,0,1,0,0,0,0,1,1,3,3.126666666666667,16
1,10,1,1,1.92,8.67,0,1,0,0,0,0,0,0,1,4.92,10
0,13,1,1,4.88,10.0,0,0,1,0,0,1,0,1,3,6.6866666666666665,0
0,8,1,1,7.48,8.14,1,0,0,0,0,1,0,0,2,8.216666666666667,0
0,15,3,0,6.37,3.72,0,0,0,1,0,0,1,1,3,4.44,0
0,5,4,1,9.46,1.99,0,1,0,1,1,0,0,0,3,5.91,0
2,16,3,0,8.28,7.25,0,0,0,1,1,0,0,1,3,6.336666666666666,32
0,2,3,0,6.15,7.18,0,0,1,1,1,0,0,1,4,5.14,0
0,1,1,1,4.25,5.4,1,0,0,0,0,0,1,1,3,5.463333333333334,0
1,10,1,0,8.52,7.52,0,0,0,1,0,0,0,0,1,7.926666666666667,10
0,17,2,1,5.39,1.57,1,0,0,1,0,0,0,0,2,4.283333333333333,0
0,2,3,1,8.88,9.95,0,0,0,0,0,0,1,0,1,7.62,0
0,14,1,1,6.4,5.36,0,0,0,1,1,0,0,0,2,7.216666666666668,0
1,4,2,0,7.36,6.1,0,0,0,1,1,0,0,0,2,4.920000000000001,4
0,10,4,0,1.42,5.79,0,0,0,0,0,1,0,0,1,4.3933333333333335,0
0,2,2,0,9.91,5.9,1,1,0,1,0,1,0,0,4,7.609999999999999,0
0,14,3,0,7.79,8.04,0,1,1,0,0,1,0,0,3,6.879999999999999,0
1,2,3,1,6.24,1.64,0,0,0,0,1,1,0,0,2,3.36,2
0,6,3,1,5.79,9.29,1,0,0,0,0,1,0,0,2,5.896666666666666,0
0,6,1,0,6.4,4.09,0,0,0,0,0,1,0,1,2,6.666666666666667,0
0,10,1,0,1.41,6.63,1,0,0,0,0,0,0,0,1,5.726666666666667,0
0,15,4,0,4.28,1.52,0,0,1,1,0,0,0,1,3,2.7933333333333334,0
0,3,3,1,1.81,5.4,0,1,0,0,0,1,0,0,2,2.9133333333333336,0
0,10,2,1,2.58,8.33,0,0,0,0,0,1,0,1,2,4.486666666666667,0
1,13,1,0,4.0,3.82,1,0,0,1,0,0,0,0,2,5.573333333333333,13
0,7,1,1,7.05,4.24,0,0,1,1,1,0,0,0,3,4.3966666666666665,0
0,16,3,0,9.38,6.8,0,1,0,0,0,1,1,0,3,6.213333333333334,0
0,17,1,0,9.88,1.62,0,0,0,1,1,0,0,0,2,6.286666666666666,0
0,5,3,0,7.76,4.45,0,0,0,0,0,0,0,1,1,6.859999999999999,0
1,19,4,1,3.42,8.03,0,0,1,0,0,1,1,1,4,5.786666666666666,19
0,19,1,0,3.9,7.02,0,0,0,0,0,1,0,0,1,4.56,0
0,9,2,0,3.76,5.91,0,0,0,0,0,0,1,0,1,5.9799999999999995,0
1,5,1,0,8.55,6.27,0,0,0,0,1,0,0,1,2,6.390000000000001,5
0,11,4,0,7.97,3.29,1,0,0,0,1,0,0,1,3,6.109999999999999,0
0,16,3,0,1.57,9.52,0,0,1,0,0,0,0,1,2,4.773333333333333,0
0,12,2,0,5.45,9.97,0,0,1,0,0,1,0,0,2,7.136666666666668,0
0,0,4,1,6.78,2.47,0,0,0,0,1,0,1,0,2,4.426666666666667,0
1,3,2,0,1.14,1.68,0,0,0,0,0,1,0,0,1,1.9733333333333334,3
0,15,3,1,6.34,2.56,1,0,0,0,0,1,1,1,4,5.486666666666667,0
1,18,4,0,9.47,3.84,0,0,1,0,0,1,0,0,2,7.373333333333334,18
1,4,2,0,1.43,7.4,1,0,0,1,0,0,1,0,3,5.8999999999999995,4
0,12,1,0,2.54,5.83,0,1,0,1,0,1,1,0,4,4.446666666666666,0
0,9,2,0,1.93,1.5,0,0,1,0,1,0,0,1,3,4.203333333333333,0
0,4,4,0,4.32,5.53,0,0,1,1,0,1,0,0,3,5.176666666666667,0
1,15,2,1,4.33,6.36,0,0,0,1,0,0,0,0,1,4.956666666666667,15
0,0,2,0,9.6,2.2,0,0,0,0,0,1,0,0,1,6.543333333333334,0
0,11,1,0,8.2,1.77,1,0,0,0,0,0,0,0,1,4.483333333333333,0
0,14,4,0,6.73,4.78,0,0,0,0,0,0,0,1,1,5.390000000000001,0
1,4,4,0,6.78,7.98,1,0,0,0,0,1,1,1,4,7.646666666666667,4
0,5,2,1,7.0,2.49,1,0,0,1,0,1,0,1,4,4.97,0
0,10,1,0,2.54,2.16,0,0,0,1,1,0,0,0,2,2.2866666666666666,0
0,19,2,0,4.19,8.56,1,0,0,1,1,0,0,0,3,7.446666666666666,0
0,13,3,0,6.82,3.31,1,0,0,0,0,0,0,0,1,3.7466666666666666,0
0,1,4,0,1.3,2.07,0,1,0,0,1,0,1,1,4,2.1933333333333334,0
0,9,4,1,5.41,9.16,1,0,0,0,0,0,1,0,2,7.609999999999999,0
2,11,1,1,8.53,4.45,0,0,1,1,0,1,0,1,4,7.196666666666666,22
0,8,4,0,5.91,4.76,0,0,1,0,0,0,0,0,1,5.919999999999999,0
0,8,1,1,8.79,9.72,1,0,0,1,0,1,1,0,4,8.343333333333332,0
0,9,4,0,7.72,7.35,0,0,0,0,0,1,0,1,2,7.8566666666666665,0
0,6,1,0,5.85,9.2,1,0,0,0,1,1,0,1,4,7.586666666666666,0
0,1,2,0,4.39,3.74,1,1,1,0,0,0,0,0,3,5.983333333333333,0
0,0,1,0,6.9,6.46,0,0,0,0,1,0,1,1,3,6.169999999999999,0
0,18,3,1,5.48,5.19,0,0,0,0,0,0,0,1,1,4.703333333333334,0
1,18,3,0,9.95,9.99,1,1,1,0,1,0,0,0,4,6.993333333333332,18
0,0,2,0,6.49,5.37,0,0,1,0,1,0,1,0,3,5.276666666666666,0
1,1,1,0,3.27,7.19,0,0,0,1,1,0,1,1,4,6.3,1
0,3,2,1,9.67,2.81,0,0,1,0,0,1,1,0,3,4.593333333333334,0
0,15,3,0,3.58,2.26,0,1,0,1,0,1,0,0,3,4.353333333333333,0
0,12,4,1,9.02,1.89,0,0,0,0,0,1,0,0,1,4.1033333333333335,0
1,11,2,0,5.43,6.15,1,0,0,0,1,0,0,1,3,5.62,11
0,4,3,1,7.34,8.86,0,1,0,0,0,0,0,0,1,7.0,0
1,2,3,0,2.82,8.86,0,0,0,1,1,0,0,0,2,7.036666666666666,2
0,19,2,0,6.03,1.62,1,0,0,1,0,1,1,0,4,3.8433333333333337,0
0,1,3,1,2.81,8.15,0,1,0,1,0,0,0,0,2,5.593333333333334,0
1,4,3,0,3.14,8.92,1,0,1,0,1,0,1,0,4,6.213333333333334,4
2,0,3,0,2.46,8.27,1,1,0,0,0,1,0,0,3,4.78,0
1,13,1,1,5.04,1.22,0,0,1,0,0,1,0,0,2,3.1633333333333336,13
1,14,3,0,5.63,7.35,0,0,1,0,1,0,1,0,3,5.5200000000000005,14
0,3,2,0,3.36,4.34,0,0,0,0,0,0,0,1,1,3.2866666666666666,0
0,11,4,0,6.52,7.55,0,0,0,0,0,0,1,0,1,5.37,0
0,9,1,1,3.44,5.13,0,0,0,1,0,0,0,1,2,4.966666666666667,0
2,17,4,1,5.69,7.03,0,0,0,1,0,1,0,1,3,4.876666666666667,34
1,8,1,0,7.17,3.46,0,1,0,0,1,1,1,0,4,4.456666666666666,8
0,4,2,0,1.54,2.31,0,0,0,1,0,1,1,1,4,2.1266666666666665,0
0,8,4,1,8.74,9.3,1,0,1,0,1,1,0,0,4,6.763333333333333,0
2,18,3,1,4.22,7.47,0,0,0,1,1,0,0,1,3,4.653333333333333,36
0,19,2,0,5.65,9.49,0,0,0,0,1,1,1,1,4,7.773333333333333,0
1,16,2,0,5.01,8.26,0,1,0,0,1,1,0,0,3,5.483333333333333,16
1,14,4,0,9.55,3.06,1,0,0,0,0,0,1,0,2,5.193333333333334,14
0,13,3,0,2.71,7.31,1,0,0,1,0,0,1,1,4,4.06,0
0,17,4,1,6.64,6.04,1,0,0,1,1,0,1,0,4,6.663333333333333,0
1,13,3,0,8.46,3.49,1,0,0,0,1,0,1,0,3,4.74,13
0,19,1,0,4.86,8.79,0,0,0,0,0,0,1,0,1,5.05,0
1,2,4,1,4.02,8.02,0,0,1,0,1,0,0,0,2,7.336666666666666,2
0,1,1,1,2.01,2.16,1,0,0,0,0,0,0,1,2,3.4299999999999997,0
0,19,3,0,7.49,6.13,1,0,1,1,0,0,1,0,4,6.97,0
0,5,3,0,8.07,7.92,0,1,0,0,0,1,1,1,4,8.299999999999999,0
0,8,2,0,3.82,2.45,0,1,0,1,0,0,1,1,4,2.4299999999999997,0
0,0,3,1,7.98,9.93,0,1,0,0,0,0,1,0,2,8.716666666666667,0
1,14,4,0,1.9,6.44,0,1,0,0,1,1,0,1,4,5.183333333333334,14
1,0,4,0,4.87,8.76,1,0,1,0,0,1,1,0,4,5.873333333333332,0
0,2,3,1,3.49,5.92,1,0,1,1,0,0,0,0,3,3.64,0
0,15,3,1,3.48,3.78,0,0,0,0,1,0,1,0,2,4.413333333333333,0
0,14,4,0,9.37,8.52,0,0,0,1,1,0,1,1,4,7.216666666666666,0
1,14,4,0,7.99,5.03,0,1,0,1,1,0,1,0,4,4.786666666666666,14
0,4,3,1,7.9,6.24,0,0,0,0,0,1,1,0,2,7.846666666666667,0
0,9,3,0,5.44,6.18,0,1,1,0,1,0,0,0,3,4.346666666666667,0
0,10,4,1,6.59,1.53,0,0,0,0,0,0,1,0,1,4.536666666666666,0
2,7,2,0,8.07,4.05,0,1,0,0,0,1,1,1,4,6.523333333333333,14
1,14,3,0,3.4,4.0,0,1,0,1,0,1,0,0,3,4.363333333333333,14
0,19,2,1,3.62,1.39,1,0,1,0,0,0,1,0,3,4.953333333333333,0
1,11,4,0,8.95,1.94,0,0,1,1,1,0,0,0,3,5.776666666666666,11
1,3,2,0,3.06,6.14,0,1,0,0,0,1,0,1,3,5.153333333333333,3
0,9,1,1,7.12,3.9,0,1,1,1,0,0,0,1,4,5.8999999999999995,0
1,15,2,1,9.27,5.52,0,1,1,1,0,1,0,0,4,8.183333333333332,15
1,14,1,1,9.57,5.35,0,1,0,0,0,1,0,0,2,6.283333333333334,14
0,4,3,0,3.73,6.89,1,0,0,0,0,0,0,0,1,6.383333333333333,0
0,11,1,0,9.55,8.65,0,1,0,0,0,0,0,1,2,6.656666666666667,0
0,10,4,0,2.24,3.04,0,0,1,1,0,0,0,0,2,4.0633333333333335,0
1,10,3,1,3.18,4.25,0,1,1,1,1,0,0,0,4,4.536666666666666,10
0,12,3,1,4.62,6.01,0,1,0,1,0,0,0,1,3,5.773333333333333,0
0,8,1,0,7.84,7.67,0,0,1,0,0,1,1,1,4,6.833333333333333,0
0,15,4,1,1.81,4.45,0,0,0,1,0,0,1,1,3,4.536666666666666,0
0,15,4,0,3.0,3.39,0,0,0,0,0,1,1,0,2,4.456666666666667,0
2,0,4,0,5.29,7.08,0,1,0,0,0,0,0,0,1,7.013333333333333,0
0,18,4,1,1.67,6.97,0,0,0,0,1,0,0,0,1,5.953333333333333,0
1,18,2,0,4.17,7.81,0,0,1,0,0,0,0,0,1,4.946666666666666,18
1,3,4,1,6.53,5.48,0,0,0,1,1,1,0,0,3,6.5633333333333335,3
2,4,4,0,7.95,1.68,0,0,1,1,0,0,1,0,3,5.176666666666667,8
2,2,3,0,5.51,6.3,1,0,1,1,1,0,0,0,4,5.156666666666666,4
0,18,1,0,5.03,3.83,0,0,1,0,0,0,1,1,3,3.86,0
2,12,2,0,3.99,9.98,0,0,0,1,0,1,1,1,4,5.713333333333334,24
0,12,2,1,4.32,6.23,0,1,0,1,0,0,0,0,2,5.0633333333333335,0
0,18,3,0,5.86,4.98,1,0,0,0,1,1,0,0,3,5.3999999999999995,0
1,12,2,0,4.56,7.86,0,0,1,0,1,0,1,1,4,5.423333333333333,12
1,4,2,0,3.86,9.8,0,1,0,1,0,1,1,0,4,6.016666666666667,4
0,16,3,0,6.61,5.44,1,0,1,0,1,1,0,0,4,7.086666666666667,0
0,17,4,0,9.97,3.98,0,1,0,1,1,0,0,0,3,5.5566666666666675,0
1,11,2,1,3.64,5.33,0,0,0,0,0,1,1,1,3,3.456666666666667,11
0,16,1,1,2.08,7.24,1,0,1,0,0,1,0,1,4,5.666666666666667,0
0,17,4,0,2.33,7.06,0,0,0,1,0,0,0,0,1,4.473333333333334,0
1,0,4,0,6.46,7.71,0,1,0,0,0,0,0,1,2,5.826666666666667,0
1,1,4,0,6.01,6.58,0,0,0,1,0,0,0,0,1,7.373333333333332,1
0,12,2,0,1.96,9.59,0,0,0,1,0,0,1,0,2,5.29,0
0,9,1,0,4.69,4.28,0,0,0,0,1,0,0,1,2,4.58,0
0,2,2,0,8.69,1.01,1,0,0,1,1,1,0,0,4,5.3933333333333335,0
1,14,3,0,5.3,2.35,1,0,1,0,0,1,0,1,4,4.066666666666666,14
0,0,2,1,8.04,1.4,1,0,0,0,0,0,1,1,3,5.956666666666666,0
1,11,1,0,1.42,2.37,0,0,0,0,0,0,1,0,1,2.94,11
0,3,2,1,5.42,2.93,0,1,0,0,1,1,1,0,4,4.273333333333333,0
0,1,3,1,8.42,3.45,0,0,0,1,0,0,1,1,3,6.006666666666668,0
1,19,4,1,6.42,1.22,1,0,1,0,0,0,1,1,4,5.666666666666667,19
0,18,2,1,2.03,3.54,1,0,0,0,1,0,0,0,2,3.793333333333333,0
0,18,4,1,8.96,2.34,0,1,0,0,0,1,1,0,3,5.03,0
0,19,2,0,2.67,1.77,0,1,0,0,0,0,0,1,2,2.8366666666666664,0
0,19,1,0,7.41,6.23,0,0,0,0,1,1,1,0,3,5.473333333333334,0
0,12,4,0,1.65,2.74,0,0,0,1,1,1,0,0,3,3.68,0
0,7,2,0,5.85,1.73,1,1,0,0,0,0,0,0,2,2.9466666666666668,0
0,10,1,1,3.7,2.61,0,0,1,1,0,0,0,0,2,4.496666666666667,0
1,7,3,0,9.79,8.81,1,0,1,0,1,0,0,1,4,9.223333333333334,7
0,11,4,1,9.1,5.76,0,0,0,0,1,1,0,0,2,7.239999999999999,0
0,16,4,0,4.97,5.81,1,1,0,0,0,1,0,0,3,6.453333333333333,0
0,7,2,0,8.68,3.45,1,0,0,0,0,0,0,0,1,4.633333333333333,0
1,2,4,0,3.15,5.65,0,0,0,0,1,1,0,0,2,5.47,2
0,6,3,0,5.68,7.62,1,0,0,0,0,0,0,0,1,7.04,0
1,12,4,0,8.46,6.37,0,1,0,0,1,0,0,0,2,6.300000000000001,12
0,17,4,0,7.16,5.83,1,0,0,0,0,0,0,0,1,6.7700000000000005,0
1,9,3,0,5.04,4.27,1,1,1,0,0,1,0,0,4,4.736666666666666,9
0,5,1,0,5.82,6.68,0,0,0,0,0,0,1,0,1,6.66,0
2,3,4,1,3.62,8.71,0,0,0,0,0,0,0,1,1,6.536666666666668,6
1,12,2,0,6.07,2.72,1,1,0,0,0,0,0,0,2,4.166666666666667,12
0,14,1,1,2.22,8.42,0,0,0,0,0,0,1,0,1,3.9633333333333334,0
0,16,4,0,7.81,5.36,1,0,0,0,1,1,0,0,3,7.06,0
0,12,1,0,9.95,9.81,1,0,1,0,1,0,0,1,4,7.8,0
0,14,4,1,1.47,3.36,0,0,0,0,1,0,0,0,1,3.67,0
0,5,1,1,8.13,1.88,0,0,0,0,1,1,0,1,3,5.546666666666667,0
0,18,2,0,8.56,2.45,0,0,0,0,0,0,0,1,1,6.660000000000001,0
1,11,1,0,1.3,1.17,0,0,0,0,0,1,0,0,1,1.2433333333333332,11
0,19,3,0,6.26,4.29,1,1,0,0,1,0,1,0,4,5.45,0
0,19,4,0,9.03,3.88,0,0,0,0,1,1,0,0,2,6.54,0
0,6,4,0,6.11,6.75,0,0,0,0,1,1,0,0,2,6.453333333333333,0
0,8,2,0,6.29,2.46,0,0,0,1,0,0,0,0,1,5.526666666666666,0
